source,name,category,town,address,website,phone,email
westchester,El Primo,restaurant,White Plains,"166 Mamaroneck Ave, White Plains, NY 10601, USA",https://elprimowp.com/,(914) 861-0400,events@elprimowp.com
westchester,Don Rene White Plains,restaurant,White Plains,"107 Mamaroneck Ave, White Plains, NY 10601, USA",https://donrene.nyc/,(914) 576-7676,info@donrene.nyc
westchester,The Brazen Fox,restaurant,White Plains,"175 Mamaroneck Ave, White Plains, NY 10601, USA",http://www.thebrazenfox.com/,(914) 358-5911,info@thebrazenfox.com
westchester,Hudson Grille,restaurant,White Plains,"165 Mamaroneck Ave, White Plains, NY 10601, USA",https://hudsongrilleny.com/,(914) 997-2000,info@hudsongrilleny.com
westchester,freebird kitchen and bar,restaurant,White Plains,"161 Mamaroneck Ave, White Plains, NY 10601, USA",http://freebirdkitchenandbar.com/,(914) 607-2476,info@freebirdkitchenandbar.com
westchester,Cantina Taco & Tequila Bar,restaurant,White Plains,"166A Mamaroneck Ave, White Plains, NY 10601, USA",https://cantinawhiteplains.com/?utm_source=google,(914) 461-3959,john@cantinawhiteplains.com
westchester,Lilly's,restaurant,White Plains,"169 Mamaroneck Ave, White Plains, NY 10601, USA",https://www.lillyswp.com/,(914) 997-5600,info@lillyswp.com
westchester,Tepe’s Kitchen,restaurant,White Plains,"120 E Post Rd, White Plains, NY 10601, USA",http://tepeskitchenwp.com/,(914) 437-9024,tepeskitcheninc@gmail.com
westchester,Colombian House Restaurant,restaurant,White Plains,"175 Main St, White Plains, NY 10601, USA",http://colombianhouse.com/,(914) 358-9274,info@colombianhouse.com
westchester,O'Connor's Public House,bar,White Plains,"93 Mamaroneck Ave, White Plains, NY 10601, USA",https://www.oconnorswhiteplains.com/,(914) 358-9145,oconnorswestchester@gmail.com
westchester,Ron Blacks Beer Hall,bar,White Plains,"181 Mamaroneck Ave, White Plains, NY 10601, USA",http://ronblacks.com/,(914) 358-5811,info@ronblacks.com
westchester,Alex Lounge Bar & Grill,bar,White Plains,"213 E Post Rd, White Plains, NY 10601, USA",https://www.alexloungeny.com/,(914) 358-9227,toni.lazy@gmail.com
westchester,Dunne's Pub,bar,White Plains,"15 Shapham Pl, White Plains, NY 10605, USA",https://dunnespub.com/,(914) 421-1451,dunnespubwp@gmail.com
westchester,Mix Cocktail Bar and Kitchen,bar,White Plains,"66 Hale Ave, White Plains, NY 10601, USA",https://www.sonesta.com/sonesta-hotels-resorts/ny/white-plains/sonesta-white-plains-downtown#hoteldetails_dining,(914) 682-0050,reservations@sonesta.com
