place_id,name,category,primary_type,website,phone,address,town,email
ChIJlwif_1dYwokR9-Yo1aECAxk,Vida Verde - Tequila Bar,restaurant,cocktail_bar,https://www.vidaverdeny.com/,(646) 657-0565,"248 W 55th St, New York, NY 10019, USA",Manhattan,
ChIJ58OtM8pZwokRbd6DT6gcVys,La Grande Boucherie,restaurant,french_restaurant,https://www.boucherieus.com/,(212) 510-7714,"145 W 53rd St, New York, NY 10019, USA",Manhattan,contact@boucherie.nyc
ChIJm9ZmFPtYwokR4GjMlk_y7Fg,Monkey Bar,restaurant,american_restaurant,https://nycmonkeybar.com/,(212) 404-0365,"60 E 54th St, New York, NY 10022, USA",Manhattan,contact@nycmonkeybar.com
ChIJaaSLEvRZwokR8hhU6ZRj1qA,Glass Ceiling Rooftop,restaurant,restaurant,https://www.glassceilingrooftop.com/,(646) 590-3172,"1204 Broadway, New York, NY 10001, USA",Manhattan,
ChIJbxudM_ZYwokRNZbwXK-_GzE,ROBERT,restaurant,american_restaurant,https://robertnyc.com/,(212) 299-7730,"2 Columbus Cir, New York, NY 10019, USA",Manhattan,info@arkrestaurants.com
ChIJUe3TgIVYwokR5cm1iYg1TAU,The Milling Room,restaurant,american_restaurant,https://cometenyc.com/menus,(212) 595-0380,"446 Columbus Ave, New York, NY 10024, USA",Manhattan,
ChIJmWvEAIZYwokRpvhPBfDbi_k,Pig and Khao - UWS,restaurant,restaurant,https://www.pigandkhao.com/uws,(646) 370-1430,"433 Amsterdam Ave, New York, NY 10024, USA",Manhattan,
ChIJqUTQkGdZwokR9RosCA4orHE,MOE EATS NYC,restaurant,restaurant,https://www.moeeatsnyc.com/,(646) 547-6759,"120 W 49th St, New York, NY 10020, USA",Manhattan,
ChIJg-QDdKFZwokRumpX4_PxJuU,Tasca NYC,restaurant,restaurant,http://www.tasca-nyc.com/,(212) 362-2211,"505 Columbus Ave, New York, NY 10024, USA",Manhattan,
ChIJYfgPUEFZwokRZ5mk9JqnxSc,Sea Salt NYC,restaurant,mediterranean_restaurant,https://www.seasaltrestaurantnyc.com/,(917) 261-4443,"1123 1st Ave, New York, NY 10065, USA",Manhattan,seasaltrestaurantnyc@gmail.com
ChIJ_85dJlZYwokR29NPLSJngR4,Ellen's Stardust Diner,restaurant,diner,https://www.ellensstardustdiner.com/,(212) 956-5151,"1650 Broadway, New York, NY 10019, USA",Manhattan,info@ellensstardustdiner.com
ChIJ1Zviw79ZwokRTH7D4gNH6HE,The Landing,restaurant,restaurant,https://www.thelanding.nyc/?y_source=1_MzI0ODA0MDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(917) 764-3463,"1 Pennsylvania Plaza, New York, NY 10119, USA",Manhattan,
ChIJSc_3GIVYwokRh6OzVnCnh6g,Prohibition,restaurant,american_restaurant,http://prohibition.net/,(212) 579-3100,"503 Columbus Ave, New York, NY 10024, USA",Manhattan,
ChIJG0fkfuJZwokRqmAxXTpYP2I,Bad Roman,restaurant,italian_restaurant,https://www.badromannyc.com/,(212) 970-2033,"3rd floor, 10 Columbus Cir, New York, NY 10019, USA",Manhattan,
ChIJlYuHaAtZwokRTrF1jKtMdvg,La Pecora Bianca UWS,restaurant,italian_restaurant,https://www.lapecorabianca.com/,(212) 300-9870,"359 Columbus Ave, New York, NY 10024, USA",Manhattan,
ChIJoTXWl8dbwokRpKA2BJFVsGA,Manhatta,restaurant,american_restaurant,https://www.manhattarestaurant.com/restaurant-menu/,(212) 230-5788,"28 Liberty St 60th floor, New York, NY 10005, USA",Manhattan,
ChIJbd5El_VYwokRFEtA5j2r7Ls,The Smith,restaurant,american_restaurant,https://thesmithrestaurant.com/location/lincoln-square/,(212) 496-5700,"1900 Broadway, New York, NY 10023, USA",Manhattan,
ChIJvWSDS_ZYwokRiG9D395loxo,Marea,restaurant,restaurant,https://www.marearestaurant.com/new-york?utm_source=GoogleBusinessProfile&utm_medium=organic&utm_campaign=MapLabs,(212) 582-5100,"240 Central Park S, New York, NY 10019, USA",Manhattan,mareaevents@altamareagroup.com
ChIJYWlTWVFYwokRVffxIe_Erc4,UT47 Kitchen & Bar,restaurant,brunch_restaurant,https://ut47kitchen.com/,(646) 843-0856,"683 9th Ave, New York, NY 10036, USA",Manhattan,ut47kitchen@gmail.com
ChIJOb-eH4VYwokRkyzosmvD_sk,Osteria Cotta,restaurant,italian_restaurant,https://www.cottanyc.com/,(212) 873-8500,"513 Columbus Ave, New York, NY 10024, USA",Manhattan,
ChIJHXg8BINZwokRpUSDvY8f-3I,Madame George,bar,cocktail_bar,https://www.madamegeorgenyc.com/,(646) 423-9081,"45 W 45th St, New York, NY 10036, USA",Manhattan,
ChIJIRiJaRRawokR2KyQ984qa-o,The Dead Rabbit,bar,bar,https://thedeadrabbit.com/?utm_source=google_business_profile&utm_medium=gbp_view_website&utm_campaign=google_business_profile,(917) 540-5228,"30 Water St, New York, NY 10004, USA",Manhattan,hello.nyc@thedeadrabbit.com
ChIJfWVsl1ZYwokR9qnmtWV2pEg,Sir Henry’s,bar,cocktail_bar,https://sirhenrysnyc.com/,(646) 398-8886,"795 8th Ave 1st Fl, New York, NY 10019, USA",Manhattan,
ChIJb67-ZZ1ZwokRRxBYr3GlFp0,Please Don't Tell,bar,cocktail_bar,http://www.pdtnyc.com/,,"113 St Marks Pl, New York, NY 10009, USA",Manhattan,
ChIJte5SHFhYwokRV50VmHOsjYM,Barcelona Bar,bar,bar,http://www.barcelonabarnyc.com/,,"923 8th Ave, New York, NY 10019, USA",Manhattan,party@barcelonabarnyc.com
ChIJq38lzVVYwokRSQFHWasfeqc,The Rum House,bar,cocktail_bar,http://www.therumhousenyc.com/,,"228 W 47th St, New York, NY 10036, USA",Manhattan,
ChIJl7mCI9hZwokRcZSJJODceeQ,The Upside Bar,bar,bar,,(917) 261-6842,"588 Amsterdam Ave, New York, NY 10024, USA",Manhattan,
ChIJ02dcCoZYwokReJRvMFYrq-8,The Dead Poet,bar,irish_pub,http://www.thedeadpoet.com/,(212) 595-5670,"450 Amsterdam Ave #2, New York, NY 10024, USA",Manhattan,info@thedeadpoet.com
ChIJ9_y2Cq9ZwokRuq4EQnlD98o,George Bang Bang,bar,cocktail_bar,http://www.gbbnyc.com/,(646) 707-0420,"13 E 30th St 1st floor, New York, NY 10016, USA",Manhattan,gbb@handhospitality.com
ChIJqz-3FVVYwokRo_z9ZJDCM3g,Jimmy's Corner,bar,bar,https://m.facebook.com/jimmyscornernyc,,"140 W 44th St, New York, NY 10036, USA",Manhattan,
ChIJ9cZnC5lZwokRmN7VzAoFHxA,bar/code NYC,bar,bar,https://www.barcodenewyork.com/,(917) 261-7433,"43 W 32nd St, New York, NY 10001, USA",Manhattan,
ChIJD5EbjMpZwokRZrPRJuwodns,Haswell Green's,bar,cocktail_bar,https://haswellgreens.com/,(212) 245-2801,"240 W 52nd St, New York, NY 10019, USA",Manhattan,
ChIJK8wm5yf2wokR9QqGu_Lodr0,Dive Bar,bar,bar,http://www.divebarnyc.com/,(212) 749-4358,"732 Amsterdam Ave, New York, NY 10025, USA",Manhattan,
