place_id,name,category,primary_type,website,phone,address,town,email
ChIJKbbpHR6VwokRQ7hydGZy1f8,The Blind Pig of Westchester,restaurant,restaurant,http://www.theblindpigofwestchester.com/,(914) 607-2687,"174 Martine Ave, White Plains, NY 10601, USA",White Plains,
ChIJqaHGHTqUwokRNtZxiHTF9m8,El Primo,restaurant,restaurant,https://elprimowp.com/,(914) 861-0400,"166 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,events@elprimowp.com
ChIJjfhIv-uVwokRGxw9ByWQkx0,Don Rene White Plains,restaurant,latin_american_restaurant,https://donrene.nyc/,(914) 576-7676,"107 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,info@donrene.nyc
ChIJ7StyGjqUwokRw2hn3CXEOyg,The Brazen Fox,restaurant,american_restaurant,http://www.thebrazenfox.com/,(914) 358-5911,"175 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,Info@thebrazenfox.com
ChIJuUTPGjqUwokRhMyDBOfKuGo,Hudson Grille,restaurant,american_restaurant,https://hudsongrilleny.com/,(914) 997-2000,"165 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,info@hudsongrilleny.com
ChIJEeP-2KqVwokR8s33OvmOxns,Mashed Burgers,restaurant,hamburger_restaurant,https://www.mashedburgers.com/,(914) 400-0155,"66 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,
ChIJ6Wh_BTqUwokR92UlsbxGKIk,freebird kitchen and bar,restaurant,american_restaurant,http://freebirdkitchenandbar.com/,(914) 607-2476,"161 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,info@freebirdkitchenandbar.com
ChIJ-c7jrriVwokR8yWsg-QKAIQ,Whiskey Lounge,restaurant,restaurant,https://www.whiskeyloungewp.com/,(914) 761-1106,"152 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,
ChIJTanaUoyVwokRjn_HFm3B0Pw,Sunset,restaurant,bar_and_grill,,,"49 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,
ChIJk071MPyVwokR5RYWXir3W44,Cantina Taco & Tequila Bar,restaurant,taco_restaurant,https://cantinawhiteplains.com/?utm_source=google,(914) 461-3959,"166A Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,john@cantinawhiteplains.com
ChIJC6lCAzqUwokRGxRSEKG8iEk,The Lazy Boy Saloon,restaurant,bar,http://www.lazyboysaloonwp.com/,(914) 761-0272,"154 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,
ChIJkVowEDqUwokR15XyKaK-FDM,Lilly's,restaurant,american_restaurant,https://www.lillyswp.com/,(914) 997-5600,"169 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,info@lillyswp.com
ChIJkUg36jmVwokROoL5ZoVZmDU,Qosqo Inka Peruvian Restaurant,restaurant,peruvian_restaurant,https://www.orderqosqo.com/,(914) 437-9520,"51 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,
ChIJS5nmj22VwokRKNV8NqCbfA8,Red Horse by David Burke – White Plains,restaurant,restaurant,http://www.redhorsebydb.com/restaurant-white-plains/,(914) 467-5713,"221 Main St, White Plains, NY 10601, USA",White Plains,
ChIJqWWDp3iVwokRAOEDl7Ehy94,Tepe’s Kitchen,restaurant,mexican_restaurant,http://tepeskitchenwp.com/,(914) 437-9024,"120 E Post Rd, White Plains, NY 10601, USA",White Plains,Tepeskitcheninc@gmail.com
ChIJy2sC_zaUwokRsOWojx1Js-Y,Colombian House Restaurant,restaurant,colombian_restaurant,http://colombianhouse.com/,(914) 358-9274,"175 Main St, White Plains, NY 10601, USA",White Plains,info@colombianhouse.com
ChIJhTJcPOyVwokRnTSj9-7pHo4,Coral Seafood & Steak White Plains,restaurant,seafood_restaurant,https://coralseafoodwhiteplains.com/,(914) 600-8232,"19 Court St, White Plains, NY 10601, USA",White Plains,
ChIJcQYWCi2VwokRSQXr5F8t_to,Purple Corn Pollo A La Brasa,restaurant,peruvian_restaurant,https://www.purplecornrotisseriewp.com/,(914) 339-0900,"72 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,
