place_id,name,category,primary_type,website,phone,address,town,email
ChIJqaHGHTqUwokRNtZxiHTF9m8,El Primo,restaurant,restaurant,https://elprimowp.com/,(914) 861-0400,"166 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,events@elprimowp.com
ChIJjfhIv-uVwokRGxw9ByWQkx0,Don Rene White Plains,restaurant,latin_american_restaurant,https://donrene.nyc/,(914) 576-7676,"107 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,info@donrene.nyc
ChIJ7StyGjqUwokRw2hn3CXEOyg,The Brazen Fox,restaurant,american_restaurant,http://www.thebrazenfox.com/,(914) 358-5911,"175 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,info@thebrazenfox.com
ChIJuUTPGjqUwokRhMyDBOfKuGo,Hudson Grille,restaurant,american_restaurant,https://hudsongrilleny.com/,(914) 997-2000,"165 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,info@hudsongrilleny.com
ChIJ6Wh_BTqUwokR92UlsbxGKIk,freebird kitchen and bar,restaurant,american_restaurant,http://freebirdkitchenandbar.com/,(914) 607-2476,"161 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,info@freebirdkitchenandbar.com
ChIJk071MPyVwokR5RYWXir3W44,Cantina Taco & Tequila Bar,restaurant,taco_restaurant,https://cantinawhiteplains.com/?utm_source=google,(914) 461-3959,"166A Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,john@cantinawhiteplains.com
ChIJkVowEDqUwokR15XyKaK-FDM,Lilly's,restaurant,american_restaurant,https://www.lillyswp.com/,(914) 997-5600,"169 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,info@lillyswp.com
ChIJqWWDp3iVwokRAOEDl7Ehy94,Tepe’s Kitchen,restaurant,mexican_restaurant,http://tepeskitchenwp.com/,(914) 437-9024,"120 E Post Rd, White Plains, NY 10601, USA",White Plains,tepeskitcheninc@gmail.com
ChIJy2sC_zaUwokRsOWojx1Js-Y,Colombian House Restaurant,restaurant,colombian_restaurant,http://colombianhouse.com/,(914) 358-9274,"175 Main St, White Plains, NY 10601, USA",White Plains,info@colombianhouse.com
ChIJi49MTDeUwokRULy9IybDGPQ,O'Connor's Public House,bar,bar,https://www.oconnorswhiteplains.com/,(914) 358-9145,"93 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,oconnorswestchester@gmail.com
ChIJ7z-9GTqUwokR75vOLBd_hfs,Ron Blacks Beer Hall,bar,bar,http://ronblacks.com/,(914) 358-5811,"181 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,info@ronblacks.com
ChIJWykQjDCUwokRgYycRkytd6s,Alex Lounge Bar & Grill,bar,bar_and_grill,https://www.alexloungeny.com/,(914) 358-9227,"213 E Post Rd, White Plains, NY 10601, USA",White Plains,toni.lazy@gmail.com
ChIJo5M_NCOUwokRJPgfYXpN-28,Dunne's Pub,bar,bar,https://dunnespub.com/,(914) 421-1451,"15 Shapham Pl, White Plains, NY 10605, USA",White Plains,dunnespubwp@gmail.com
ChIJ80AAPTCUwokRiJSdASbXNSA,Mix Cocktail Bar and Kitchen,bar,bar,https://www.sonesta.com/sonesta-hotels-resorts/ny/white-plains/sonesta-white-plains-downtown#hoteldetails_dining,(914) 682-0050,"66 Hale Ave, White Plains, NY 10601, USA",White Plains,reservations@sonesta.com
ChIJq6oOmjCUwokR4N0BE7hmA-A,Hard Luck PoolHall Bar & Lounge,bar,sports_complex,https://www.hardluckpool.com/,(914) 607-2200,"197 E Post Rd, White Plains, NY 10601, USA",White Plains,help@hardluckpool.com
ChIJr29HkGmVwokR1nGFjxeynEo,Wolf & Warrior Brewing Co.,bar,brewery,http://wolfandwarrior.com/,(914) 368-8617,"195 E Post Rd, White Plains, NY 10601, USA",White Plains,info@wolfandwarrior.com
ChIJVWRPjxmUwokR0GnKNg5GCsk,Emma's Ale House,bar,restaurant,http://www.emmasalehouse.com/,(914) 683-3662,"68 Gedney Way, White Plains, NY 10605, USA",White Plains,info@emmasalehouse.com
ChIJ2aKVfDCVwokRW5cDhsW7vUQ,Coffee Social,cafe,coffee_shop,http://wpcoffeesocial.com/,(914) 848-4653,"193 E Post Rd, White Plains, NY 10601, USA",White Plains,hello@wpcoffeesocial.com
ChIJYenrhT2VwokRZiPS6Tr_mus,The Pamplemousse Project,cafe,cafe,http://www.thepamplemousseproject.com/,(914) 829-4736,"124 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,info@thepamplemousseproject.com
ChIJ_05nYACVwokRdfSi8Sh7CZ0,Lukumadness,cafe,coffee_shop,http://lukumadnesswp.com/,(914) 358-4552,"850 N Broadway, White Plains, NY 10603, USA",White Plains,info@lukumadnessusa.com
ChIJ7UkdC06UwokR9uTsza_KcFI,Coco Choco Bakery,cafe,bakery,https://cocochocobakery.shop/,(914) 607-3494,"1 Harding Ave, White Plains, NY 10606, USA",White Plains,contact@restaurants-world.net
ChIJz7SZOzeUwokRE-yqoSa1cN8,Famous Famiglia,pizzeria,pizza_restaurant,http://www.famousfamigliawp.com/,(914) 285-5678,"48 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,contact@famousfamigliawp.com
ChIJP49rUzeUwokR4UHAX_lWVzQ,Mario's Pizza Restaurant,pizzeria,pizza_restaurant,http://www.mariospizzawp.com/,(914) 761-7829,"118 Mamaroneck Ave, White Plains, NY 10601, USA",White Plains,contact@mariospizzawp.com
ChIJO-bdujKUwokRmIa93_4C2MA,Michael's Pizza & Pasta,pizzeria,pizza_restaurant,http://www.bestpizzapasta.com/,(914) 683-1580,"33 Lake St, White Plains, NY 10603, USA",White Plains,contact@bestpizzapasta.com
